DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:1319	brain cancer	adult brain neoplasm|adult brain neoplasms|adult brain tumor|adult brain tumors|adult brain tumour|adult brain tumours|adult malignant brain neoplasm|adult malignant brain neoplasms|adults brain tumor|adults brain tumors|adults brain tumour|adults brain tumours|brain ca|brain cancer|brain cancers|brain malignant neoplasm|brain malignant neoplasm primary|brain malignant neoplasms|brain malignant tumors|brain malignant tumours|brain neopl|brain neopl malignant|brain neopl malignant primary|brain neopl primary|brain neopl primary malignant|brain neopl.unspecified nature|brain neoplasm|brain neoplasm malignant|brain neoplasm nos|brain neoplasms|brain primary tumors|brain primary tumours|brain tumor|brain tumor adult|brain tumor malignant|brain tumor nos|brain tumors|brain tumors primary|brain tumour|brain tumour adult|brain tumour malignant|brain tumour nos|brain tumours|brain tumours primary|brain--cancer|brain--cancers|brain--tumors|brain--tumours|bt - brain tumor|bt - brain tumors|bt - brain tumour|bt - brain tumours|ca brain|cancer of brain|cancer of the brain|malig neo brain nos|malig neop brain nos|malignant adult brain neoplasm|malignant adult brain neoplasms|malignant adult brain tumor|malignant adult brain tumors|malignant adult brain tumour|malignant adult brain tumours|malignant brain neoplasm|malignant brain neoplasm nos|malignant brain neoplasms|malignant brain tumor|malignant brain tumors|malignant brain tumour|malignant brain tumours|malignant neopl brain|malignant neoplasm of brain|malignant neoplasm of brain nos|malignant neoplasm of the brain|malignant neosplasm of the brain|malignant primary brain neopl|malignant primary brain neoplasm|malignant primary brain neoplasms|malignant primary brain tumor|malignant primary brain tumors|malignant primary brain tumour|malignant primary brain tumours|malignant tumor of adult brain|malignant tumor of brain|malignant tumor of the adult brain|malignant tumor of the brain|malignant tumour of adult brain|malignant tumour of brain|malignant tumour of the adult brain|malignant tumour of the brain|neopl brain|neopl brain malignant|neopl brain primary|neoplasm of adult brain|neoplasm of brain|neoplasm of the adult brain|neoplasm of the brain|neoplasm of unspecified nature of brain|primary brain neopl|primary brain neoplasm|primary brain neoplasms|primary brain tumor|primary brain tumors|primary brain tumour|primary brain tumours|primary malignant brain neopl|primary malignant brain neoplasms|primary malignant brain tumors|primary malignant brain tumours|primary malignant neoplasm of brain|tumor of adult brain|tumor of brain|tumor of the adult brain|tumor of the brain|tumour of adult brain|tumour of brain|tumour of the adult brain|tumour of the brain
DOID:1324	lung cancer	lung cancer|lung cancers|mal neo bronch/lung nec|mal neo lower lobe lung|mal neo middle lobe lung|mal neo upper lobe lung|malig neop low lobe bronc/lung|malig neop mid lobe bronc/lung|malig neop oth site bronc/lung|malig neop upp bronc/lung nos|malig neop upp lobe bronc/lung|malignant neoplasm of other parts of bronchus or lung|malignant neoplasm of other sites of bronchus or lung
DOID:1325	bronchus cancer	bronchus cancer|bronchus cancers|mal neo bronch/lung nos|malig neop bronchus/lung nos|malignant neopl bronchus/lung|malignant neoplasm bronchus/lung|malignant neoplasm of bronchus and lung|malignant neoplasm of bronchus or lung|malignant neoplasm of bronchus or lung nos|malignant neoplasm of unspecified part of bronchus or lung
DOID:13348	laryngeal cartilage cancer	laryngeal cartilage cancer|laryngeal cartilage cancers|mal neo cartilage larynx|malig neop laryngeal cart nos|malig neop laryngeal cartilage|malig tumor laryngeal cart|malig tumour laryngeal cart|malignant neoplasm of cartilage of larynx|malignant neoplasm of laryngeal cartilage|malignant neoplasm of laryngeal cartilage nos|malignant neoplasm of laryngeal cartilages|malignant tumor of cartilage of larynx|malignant tumor of laryngeal cartilage|malignant tumour of cartilage of larynx|malignant tumour of laryngeal cartilage
DOID:13389	labia majora carcinoma	carcinoma of labia majora|carcinoma of the labia majora|labia majora cancer|labia majora cancers|labia majora carcinoma|labia majora carcinomas
DOID:134	vaginal glandular tumor	vaginal glandular neoplasm|vaginal glandular neoplasms|vaginal glandular tumor|vaginal glandular tumors|vaginal glandular tumour|vaginal glandular tumours
DOID:13476	supraglottis cancer	ca larynx - supraglottis|malig neo supraglottis|malig neop supraglottis|malig tumor supraglottis|malig tumour supraglottis|malignant neoplasm of extrinsic larynx|malignant neoplasm of supraglottis|malignant neoplasm of the supraglottis|malignant supraglottal neoplasm|malignant supraglottal neoplasms|malignant supraglottic neoplasm|malignant supraglottic neoplasms|malignant supraglottic tumor|malignant supraglottic tumors|malignant supraglottic tumour|malignant supraglottic tumours|malignant supraglottis neoplasm|malignant supraglottis neoplasms|malignant supraglottis tumor|malignant supraglottis tumors|malignant supraglottis tumour|malignant supraglottis tumours|malignant tumor of supraglottis|malignant tumor of the supraglottis|malignant tumour of supraglottis|malignant tumour of the supraglottis|supraglottic cancer malignant|supraglottis|supraglottis cancer|supraglottis cancers
DOID:13499	jejunal cancer	cancer of jejunum|cancer of the jejunum|jejunal cancer|jejunal cancer nos|jejunal cancers|jejunum cancer|jejunum cancer nos|jejunum cancers|malignant jejunal neoplasm|malignant jejunal neoplasms|malignant neopl jejunum|malignant neoplasm of jejunum|malignant neoplasm of jejunum nos|malignant tumor of jejunum|malignant tumour of jejunum
DOID:13538	cornea squamous cell carcinoma	cornea epidermoid carcinoma|cornea epidermoid carcinomas|cornea squamous cell carcinoma|cornea squamous cell carcinomas|corneal epidermoid carcinoma|corneal epidermoid carcinomas|corneal neoplasm squamous cell carcinoma|corneal neoplasm squamous cell carcinomas|corneal squamous cell carcinoma|corneal squamous cell carcinomas|epidermoid carcinoma of cornea|epidermoid carcinoma of the cornea|squamous cell carcinoma cornea|squamous cell carcinoma of cornea|squamous cell carcinoma of the cornea
DOID:1355	paranasal sinus lymphoma	accessory sinus lymphoma|accessory sinus lymphomas|lymphoma of accessory sinus|lymphoma of paranasal sinus|lymphoma of the accessory sinus|lymphoma of the paranasal sinus|paranasal sinus lymphoma|paranasal sinus lymphomas|primary paranasal sinus lymphoma|primary paranasal sinus lymphomas
DOID:1357	maxillary sinus cancer	cancer of maxillary antrum|carcinoma of maxillary sinus|mal neo maxillary sinus|malig neop maxillary sinus|malig tumor maxillary antrum|malig tumor maxillary sinus|malig tumour maxillary antrum|malig tumour maxillary sinus|malignant maxillary sinus neoplasm|malignant maxillary sinus neoplasms|malignant maxillary sinus tumor|malignant maxillary sinus tumors|malignant maxillary sinus tumour|malignant maxillary sinus tumours|malignant neoplasm of antrum|malignant neoplasm of antrum of highmore|malignant neoplasm of maxillary antrum|malignant neoplasm of maxillary sinus|malignant neoplasm of the maxillary sinus|malignant tumor of maxillary antrum|malignant tumor of maxillary sinus|malignant tumor of the maxillary sinus|malignant tumour of maxillary antrum|malignant tumour of maxillary sinus|malignant tumour of the maxillary sinus|maxillary sinus cancer|maxillary sinus cancers|maxillary sinus carcinoma|maxillary sinus carcinomas
DOID:136	vaginal carcinosarcoma	malignant vaginal mixed epithelial and mesenchymal neoplasm|malignant vaginal mixed epithelial and mesenchymal neoplasms|malignant vaginal mixed epithelial and mesenchymal tumor|malignant vaginal mixed epithelial and mesenchymal tumors|malignant vaginal mixed epithelial and mesenchymal tumour|malignant vaginal mixed epithelial and mesenchymal tumours|vaginal carcinosarcoma|vaginal carcinosarcomas|vaginal malignant mixed mullerian tumor|vaginal malignant mixed mullerian tumors|vaginal malignant mixed mullerian tumour|vaginal malignant mixed mullerian tumours|vaginal mixed epithelial and mesenchymal neoplasm|vaginal mixed epithelial and mesenchymal neoplasms|vaginal mixed epithelial and mesenchymal tumor|vaginal mixed epithelial and mesenchymal tumors|vaginal mixed epithelial and mesenchymal tumour|vaginal mixed epithelial and mesenchymal tumours
DOID:1360	frontal sinus cancer	frontal sinus cancer|frontal sinus cancers|malig neo frontal sinus|malig neop frontal sinus|malig tumor frontal sinus|malig tumour frontal sinus|malignant frontal sinus neoplasm|malignant frontal sinus neoplasms|malignant frontal sinus tumor|malignant frontal sinus tumors|malignant frontal sinus tumour|malignant frontal sinus tumours|malignant neoplasm of frontal sinus|malignant neoplasm of the frontal sinus|malignant tumor of frontal sinus|malignant tumor of the frontal sinus|malignant tumour of frontal sinus|malignant tumour of the frontal sinus
DOID:1362	paranasal sinus sarcoma	accessory sinus sarcoma|accessory sinus sarcomas|paranasal sinus sarcoma|paranasal sinus sarcomas|sarcoma of accessory sinus|sarcoma of paranasal sinus|sarcoma of the accessory sinus|sarcoma of the paranasal sinus
DOID:1363	ethmoid sinus cancer	ethmoid sinus cancer|ethmoid sinus cancers|ethmoidal sinus|mal neo ethmoidal sinus|malig neop ethmoidal sinus|malig tumor ethmoid sinus|malig tumour ethmoid sinus|malignant ethmoid sinus neoplasm|malignant ethmoid sinus neoplasms|malignant ethmoid sinus tumor|malignant ethmoid sinus tumors|malignant ethmoid sinus tumour|malignant ethmoid sinus tumours|malignant ethmoidal sinus neoplasm|malignant ethmoidal sinus neoplasms|malignant ethmoidal sinus tumor|malignant ethmoidal sinus tumors|malignant ethmoidal sinus tumour|malignant ethmoidal sinus tumours|malignant neoplasm of ethmoid sinus|malignant neoplasm of ethmoidal sinus|malignant neoplasm of the ethmoid sinus|malignant neoplasm of the ethmoidal sinus|malignant tumor of ethmoid sinus|malignant tumor of ethmoidal sinus|malignant tumor of the ethmoid sinus|malignant tumor of the ethmoidal sinus|malignant tumour of ethmoid sinus|malignant tumour of ethmoidal sinus|malignant tumour of the ethmoid sinus|malignant tumour of the ethmoidal sinus
DOID:13742	neurofibroma of spinal cord	neurofibroma of spinal cord|spinal cord neurofibroma|spinal cord neurofibromas|spine neurofibroma|spine neurofibromas
DOID:13799	female breast central part cancer	female breast central part cancer|female breast central part cancers|mal neo breast-central|malignant neoplasm of central part of female breast|malignant neoplasm of central portion of female breast|malignant tumor of central portion of female breast|malignant tumour of central portion of female breast
DOID:138	vaginal squamous tumor	vaginal squamous neoplasm|vaginal squamous neoplasms|vaginal squamous tumor|vaginal squamous tumors|vaginal squamous tumour|vaginal squamous tumours
DOID:1380	endometrial cancer	cancer of endometrium|cancer of the endometrium|endometrial ca|endometrial cancer|endometrial cancers|endometrial neopl|endometrial neoplasia|endometrial neoplasm|endometrial neoplasm malignant|endometrial neoplasm nos|endometrial neoplasms|endometrial neoplasms malignant|endometrial tumor|endometrial tumors|endometrial tumour|endometrial tumours|endometrium neoplasm|endometrium neoplasms|endometrium tumor|endometrium tumors|endometrium tumour|endometrium tumours|malignant endometrial neoplasm|malignant endometrial neoplasms|malignant neoplasm of endometrium|malignant neoplasm of the endometrium|neopl endometrial|neoplasm endometrium|neoplasm of endometrium|neoplasm of the endometrium|primary malignant neoplasm of endometrium|tumor of endometrium|tumor of the endometrium|tumour of endometrium|tumour of the endometrium
DOID:13972	female breast lower-outer quadrant cancer	female breast lower-outer quadrant cancer|female breast lower-outer quadrant cancers|mal neo breast low-outer|malignant neoplasm of lower outer quadrant of female breast|malignant neoplasm of lower-outer quadrant of female breast|malignant tumor of lower outer quadrant of female breast|malignant tumour of lower outer quadrant of female breast
DOID:13996	small intestine lymphoma	intestine lymphoma small|lymphoma of small bowel|lymphoma of small intestine|lymphoma of the small bowel|lymphoma of the small intestine|lymphoma small intestine|malignant lymphoma of small intestine|primary small intestinal lymphoma|primary small intestinal lymphomas|small bowel lymphoma|small bowel lymphomas|small intestinal lymphoma|small intestinal lymphomas|small intestine lymphoma|small intestine lymphomas
DOID:14032	malignant parietal pleura tumor	lung neoplasm malignant parietal pleura primary|malignant parietal pleura tumor|malignant parietal pleura tumors|malignant parietal pleura tumour|malignant parietal pleura tumours|primary malignant neoplasm of parietal pleura
DOID:14033	malignant visceral pleura tumor	lung neoplasm malignant visceral pleura primary|malig neop visceral pleura|malignant neoplasm of visceral pleura|malignant visceral pleura tumor|malignant visceral pleura tumors|malignant visceral pleura tumour|malignant visceral pleura tumours|primary malignant neoplasm of visceral pleura
DOID:14059	paraurethral gland cancer	mal neo paraurethral|malig neop paraurethral gland|malign tumor paraurethrl gland|malign tumour paraurethrl gland|malignant neoplasm of paraurethral gland|malignant neoplasm of paraurethral glands|malignant tumor of paraurethral gland|malignant tumor of the paraurethral gland|malignant tumour of paraurethral gland|malignant tumour of the paraurethral gland|paraurethral gland cancer|paraurethral gland cancers
DOID:14110	anus cancer	anal canal cancer nos|anal canal neoplasms malignant|anal cancer|anal cancers|anus cancer|anus cancers|cancer anus|cancer of anal canal|cancer of the anus|malig neop of anal canal|malig neop of anus unspecified|malig neopl anal canal|malignant anal neoplasm|malignant anal neoplasms|malignant anal tumor|malignant anal tumors|malignant anal tumour|malignant anal tumours|malignant neo anus nos|malignant neoplasm of anal canal|malignant neoplasm of anus|malignant neoplasm of anus unspecified|malignant neoplasm of the anus|malignant neosplasm of the anus|malignant tumor anal margin|malignant tumor of anal canal|malignant tumor of anal margin|malignant tumor of anus|malignant tumor of the anus|malignant tumour anal margin|malignant tumour of anal canal|malignant tumour of anal margin|malignant tumour of anus|malignant tumour of the anus
